tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,35708,7549,8856469,145856,2017-08-01 16:23:56+00:00
892177421306343426,30869,5593,8856469,145856,2017-08-01 00:17:27+00:00
891815181378084864,23207,3705,8856469,145856,2017-07-31 00:18:03+00:00
891689557279858688,38990,7723,8856469,145856,2017-07-30 15:58:51+00:00
891327558926688256,37237,8332,8856469,145856,2017-07-29 16:00:24+00:00
891087950875897856,18764,2791,8856469,145856,2017-07-29 00:08:17+00:00
890971913173991426,10905,1813,8856469,145856,2017-07-28 16:27:12+00:00
890729181411237888,60151,16893,8856469,145856,2017-07-28 00:22:40+00:00
890609185150312448,25828,3848,8856469,145856,2017-07-27 16:25:51+00:00
890240255349198849,29482,6566,8856469,145856,2017-07-26 15:59:51+00:00
890006608113172480,28423,6560,8856469,145856,2017-07-26 00:31:25+00:00
889880896479866881,25858,4465,8856469,145856,2017-07-25 16:11:53+00:00
889665388333682689,44467,8955,8856469,145856,2017-07-25 01:55:32+00:00
889638837579907072,25014,4004,8856469,145856,2017-07-25 00:10:02+00:00
889531135344209921,14047,2022,8856469,145856,2017-07-24 17:02:04+00:00
889278841981685760,23320,4775,8856469,145856,2017-07-24 00:19:32+00:00
888917238123831296,26938,4018,8856469,145856,2017-07-23 00:22:39+00:00
888804989199671297,23648,3790,8855829,145855,2017-07-22 16:56:37+00:00
888554962724278272,18250,3101,8856469,145856,2017-07-22 00:23:06+00:00
888078434458587136,20163,3109,8856469,145856,2017-07-20 16:49:33+00:00
887705289381826560,28029,4835,8856469,145856,2017-07-19 16:06:48+00:00
887517139158093824,42923,10559,8856469,145856,2017-07-19 03:39:09+00:00
887473957103951883,63582,16115,8856469,145856,2017-07-19 00:47:34+00:00
887343217045368832,31171,9398,8856469,145856,2017-07-18 16:08:03+00:00
887101392804085760,28374,5346,8856469,145856,2017-07-18 00:07:08+00:00
886983233522544640,32290,6855,8856469,145856,2017-07-17 16:17:36+00:00
886736880519319552,11079,2866,8856469,145856,2017-07-16 23:58:41+00:00
886680336477933568,20824,4010,8856469,145856,2017-07-16 20:14:00+00:00
886366144734445568,19569,2835,8856469,145856,2017-07-15 23:25:31+00:00
886267009285017600,111,4,8856469,145856,2017-07-15 16:51:35+00:00
886258384151887873,25901,5658,8856469,145856,2017-07-15 16:17:19+00:00
886054160059072513,0,99,8856469,145856,2017-07-15 02:45:48+00:00
885984800019947520,30166,6023,8856469,145856,2017-07-14 22:10:11+00:00
885528943205470208,33290,5727,8856469,145856,2017-07-13 15:58:47+00:00
885518971528720385,18947,3346,8856469,145856,2017-07-13 15:19:09+00:00
885311592912609280,0,16563,8856469,145856,2017-07-13 01:35:06+00:00
885167619883638784,20251,3910,8856469,145856,2017-07-12 16:03:00+00:00
884925521741709313,71210,16153,8856469,145856,2017-07-12 00:01:00+00:00
884876753390489601,25747,4993,8856469,145856,2017-07-11 20:47:12+00:00
884562892145688576,22505,4209,8856469,145856,2017-07-11 00:00:02+00:00
884441805382717440,25079,5101,8856469,145856,2017-07-10 15:58:53+00:00
884247878851493888,67098,18192,8856469,145856,2017-07-10 03:08:17+00:00
884162670584377345,18902,2680,8856469,145856,2017-07-09 21:29:42+00:00
